Scene,test_psnr,PSNR_from_renders,SSIM,LPIPS,metrics_FDR,metrics_MCQ,metrics_num_floaters,metrics_peak_gpu_gb,epoch_id,invsqr_mse,lr_sh,lr_sigma,memory_metrics_cpu_count,memory_metrics_cpu_percent,memory_metrics_gpu_allocated_mb,memory_metrics_gpu_peak_mb,memory_metrics_gpu_reserved_mb,memory_metrics_gpu_total_mb,memory_metrics_gpu_usage_percent,memory_metrics_process_ram_mb,memory_metrics_process_ram_percent,memory_metrics_system_ram_available_mb,memory_metrics_system_ram_percent,memory_metrics_system_ram_used_mb,memory_metrics_train_cpu_percent,memory_metrics_train_gpu_allocated_mb,memory_metrics_train_gpu_peak_mb,memory_metrics_train_gpu_reserved_mb,memory_metrics_train_gpu_usage_percent,memory_metrics_train_process_ram_mb,memory_metrics_train_process_ram_percent,memory_metrics_train_system_ram_percent,metrics_floater_volume,metrics_memory_per_db,metrics_num_components,mse,psnr,test_cpu_percent,test_gpu_mem_mb,test_mse,test_ram_mb
chair_syn_1015_072643,34.0110969543457,34.0033,0.9769,0.0304,0.00295707443729043,0.11074505746364594,853.0,3.7665610313415527,15.0,12489997.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.6000000238418579,3827.66162109375,3856.95849609375,8906.0,12281.5,31.16607666015625,4850.125,31.166088104248047,8291.43359375,46.70000076293945,7270.75390625,6.300000190734863,3827.77490234375,4247.7744140625,8906.0,31.1669979095459,4730.046875,30.394485473632812,45.900001525878906,6032.0,0.11074505746364594,854.0,0.0002871370525099337,35.441349029541016,0.6000000238418579,3827.66162109375,0.00042742546065710485,4850.125
drums_syn_1015_082510,25.06981086730957,25.3567,0.9331,0.0664,0.17084714770317078,0.14452160894870758,686.0,3.623129367828369,15.0,471113.8125,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3680.78759765625,3710.08447265625,8906.0,12281.5,29.970178604125977,4936.671875,31.72222328186035,7945.94921875,48.900001525878906,7616.23828125,9.100000381469727,3680.90087890625,4061.7255859375,8906.0,29.971101760864258,4820.796875,30.977630615234375,48.20000076293945,186650.0,0.14452160894870758,688.0,0.0014774033334106207,28.324604034423828,0.0,3680.78759765625,0.003378502558916807,4936.671875
ficus_syn_1015_074645,31.7137508392334,31.8558,0.9761,0.0262,0.002085294108837843,0.10429936647415161,337.0,3.3077239990234375,15.0,9233651.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3357.8125,3387.109375,8906.0,12281.5,27.340410232543945,4869.9765625,31.293649673461914,8207.69921875,47.29999923706055,7354.48828125,4.900000095367432,3357.92578125,3654.2373046875,8906.0,27.341333389282227,4746.1875,30.49820327758789,46.5,1161.0,0.10429936647415161,338.0,0.0003353081992827356,34.771549224853516,0.0,3357.8125,0.0007008325774222612,4869.9765625
hotdog_syn_1015_084521,36.311134338378906,36.4335,0.9802,0.0371,0.003699755994603038,0.12111561000347137,738.0,4.397845268249512,15.0,84408416.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,4473.49609375,4503.3935546875,8906.0,12281.5,36.4246711730957,4900.21484375,31.487957000732422,7915.01953125,49.099998474121094,7647.16796875,8.300000190734863,4473.609375,5063.80908203125,8906.0,36.425594329833984,4784.43359375,30.74396514892578,48.400001525878906,14148.0,0.12111561000347137,739.0,0.00011215576523682103,39.54816818237305,0.0,4473.49609375,0.00034384109312668443,4900.21484375
lego_syn_1015_054314,34.40709686279297,34.1242,0.975,0.0281,0.0038727871142327785,0.12777860462665558,926.0,4.396491050720215,15.0,32782954.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,4472.08837890625,4502.0068359375,8906.0,12281.5,36.413211822509766,4879.67578125,31.355976104736328,8535.484375,45.20000076293945,7026.703125,6.0,4472.20166015625,5062.0634765625,8906.0,36.41413116455078,4786.2890625,30.755887985229492,44.599998474121094,11426.0,0.12777860462665558,927.0,0.00019144213001709431,37.31243133544922,0.0,4472.08837890625,0.000524285773281008,4879.67578125
lego_syn_1015_191504,34.41179275512695,34.1234,0.9749,0.0281,0.004066020715981722,0.12795399129390717,987.0,4.403126239776611,15.0,32630398.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,4478.98486328125,4508.80126953125,8906.0,12281.5,36.469364166259766,4873.07421875,31.313554763793945,8236.09765625,47.099998474121094,7326.08984375,6.199999809265137,4479.09814453125,5070.74560546875,8906.0,36.47028732299805,4754.58203125,30.55214500427246,46.29999923706055,12041.0,0.12795399129390717,988.0,0.00019132424495182931,37.31049346923828,0.0,4478.98486328125,0.0005239273887127638,4873.07421875
materials_syn_1015_080441,29.14316177368164,29.1533,0.9493,0.0563,0.00027995381969958544,0.13106416165828705,257.0,3.8196239471435547,15.0,6052659.5,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3881.998046875,3911.294921875,8906.0,12281.5,31.608501434326172,4897.09375,31.4679012298584,8081.60546875,48.099998474121094,7480.58203125,6.699999809265137,3882.111328125,4317.16162109375,8906.0,31.60942268371582,4788.07421875,30.76736068725586,47.400001525878906,565.0,0.13106416165828705,269.0,0.00042440881952643394,33.78297805786133,0.0,3881.998046875,0.0013415279099717736,4897.09375
mic_syn_1015_060722,33.29015350341797,33.3086,0.9852,0.015,0.010405872948467731,0.09470300376415253,742.0,3.152677536010742,15.0,11009216.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.6000000238418579,3199.044921875,3228.341796875,8906.0,12281.5,26.047672271728516,4831.80078125,31.04833984375,8517.16796875,45.29999923706055,7045.01953125,3.799999952316284,3199.158203125,3453.85107421875,8906.0,26.048595428466797,4732.71484375,30.411630630493164,44.599998474121094,6367.0,0.09470300376415253,743.0,0.0003161405329592526,35.07062530517578,0.6000000238418579,3199.044921875,0.0004898556508123875,4831.80078125
ship_syn_1015_062404,29.58643341064453,29.6376,0.8896,0.1337,0.01677326299250126,0.24112436175346375,7182.0,7.134009838104248,15.0,4649819.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,7275.92919921875,7305.22607421875,12846.0,12281.5,59.24300003051758,4838.34375,31.090383529663086,8340.66015625,46.400001525878906,7221.52734375,6.0,7276.04248046875,8603.017578125,12846.0,59.24392318725586,4748.0078125,30.509899139404297,45.79999923706055,131693.0,0.24112436175346375,7183.0,0.0004673282091971487,33.31488800048828,0.0,7275.92919921875,0.0015344542916864157,4838.34375
