Scene,test_psnr,PSNR_from_renders,SSIM,LPIPS,metrics_FDR,metrics_MCQ,metrics_num_floaters,metrics_peak_gpu_gb,epoch_id,invsqr_mse,lr_sh,lr_sigma,memory_metrics_cpu_count,memory_metrics_cpu_percent,memory_metrics_gpu_allocated_mb,memory_metrics_gpu_peak_mb,memory_metrics_gpu_reserved_mb,memory_metrics_gpu_total_mb,memory_metrics_gpu_usage_percent,memory_metrics_process_ram_mb,memory_metrics_process_ram_percent,memory_metrics_system_ram_available_mb,memory_metrics_system_ram_percent,memory_metrics_system_ram_used_mb,memory_metrics_train_cpu_percent,memory_metrics_train_gpu_allocated_mb,memory_metrics_train_gpu_peak_mb,memory_metrics_train_gpu_reserved_mb,memory_metrics_train_gpu_usage_percent,memory_metrics_train_process_ram_mb,memory_metrics_train_process_ram_percent,memory_metrics_train_system_ram_percent,metrics_floater_volume,metrics_memory_per_db,metrics_num_components,metrics_num_main_objects,mse,psnr,test_cpu_percent,test_gpu_mem_mb,test_mse,test_ram_mb
chair_syn_1017_030148,34.03460693359375,34.0146,0.977,0.0304,0.0020995119120925665,0.11057381331920624,185.0,3.763336181640625,15.0,12566724.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3824.359375,3853.65625,8562.0,12281.5,31.139188766479492,4893.4609375,31.444557189941406,8530.5859375,45.20000076293945,7031.6015625,7.699999809265137,3824.47265625,3952.359375,8562.0,31.14011001586914,4800.6015625,30.847858428955078,44.599998474121094,4280.0,0.11057381331920624,187.0,2.0,0.0002865852729883045,35.451175689697266,0.0,3824.359375,0.0004250296042300761,4893.4609375
drums_syn_1017_035738,25.068767547607422,25.3572,0.933,0.0664,0.003912949003279209,0.1443902552127838,293.0,3.619685649871826,15.0,471343.21875,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3677.26123046875,3706.55810546875,8566.0,12281.5,29.94146728515625,4916.0390625,31.58963966369629,8179.20703125,47.400001525878906,7382.98046875,5.699999809265137,3677.37451171875,3804.8046875,8566.0,29.9423885345459,4799.171875,30.83867073059082,46.70000076293945,4278.0,0.1443902552127838,297.0,4.0,0.0014767157845199108,28.32636260986328,0.0,3677.26123046875,0.00338029395788908,4916.0390625
ficus_syn_1017_032003,31.717731475830078,31.8579,0.9761,0.0262,0.0010809313971549273,0.10424978286027908,131.0,3.3065667152404785,15.0,9246850.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3356.62744140625,3385.92431640625,8564.0,12281.5,27.330760955810547,4880.33984375,31.36024284362793,8453.2265625,45.70000076293945,7108.9609375,8.100000381469727,3356.74072265625,3484.62744140625,8564.0,27.331684112548828,4767.32421875,30.634023666381836,45.0,601.0,0.10424978286027908,132.0,1.0,0.0003352815401740372,34.7727165222168,0.0,3356.62744140625,0.0007001239573583007,4880.33984375
hotdog_syn_1017_041536,36.306312561035156,36.4251,0.9802,0.0372,0.0028634872287511826,0.12097010016441345,328.0,4.3919782638549805,15.0,84196176.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,4467.3984375,4497.3857421875,8562.0,12281.5,36.375022888183594,4869.5703125,31.291040420532227,8140.26171875,47.70000076293945,7421.92578125,7.699999809265137,4467.51171875,4612.36669921875,8562.0,36.375946044921875,4768.55859375,30.641956329345703,47.099998474121094,10903.0,0.12097010016441345,335.0,7.0,0.00011228677612962201,39.54287338256836,0.0,4467.3984375,0.0003428274649195373,4869.5703125
lego_syn_1016_231943,34.41271209716797,34.1324,0.975,0.0281,0.0028211658354848623,0.12783056497573853,548.0,4.398996353149414,15.0,32879742.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,4474.6923828125,4504.572265625,8562.0,12281.5,36.43441390991211,4858.23046875,31.218172073364258,8942.3203125,42.5,6619.8671875,6.400000095367432,4474.8056640625,4620.263671875,8562.0,36.435333251953125,4762.96484375,30.60601043701172,41.900001525878906,8330.0,0.12783056497573853,549.0,1.0,0.0001906227262225002,37.327613830566406,0.0,4474.6923828125,0.000523549213539809,4858.23046875
materials_syn_1017_033414,29.14975929260254,29.1596,0.9493,0.0564,0.0001968365686479956,0.13119681179523468,190.0,3.8243556022644043,15.0,6031146.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,3886.84326171875,3916.14013671875,8564.0,12281.5,31.647953033447266,4927.73046875,31.66476821899414,8280.55078125,46.79999923706055,7281.63671875,5.5,3886.95654296875,4014.84326171875,8564.0,31.648874282836914,4798.7265625,30.8358097076416,46.0,398.0,0.13119681179523468,202.0,12.0,0.00042445084545761347,33.780513763427734,0.0,3886.84326171875,0.001339734997600317,4927.73046875
mic_syn_1016_235424,33.30350875854492,33.3027,0.9852,0.015,0.0022165789268910885,0.09449608623981476,144.0,3.1470513343811035,15.0,10904520.0,1.9761022485909052e-05,0.15895378589630127,16.0,2.5,3193.28369140625,3222.58056640625,8564.0,12281.5,26.000762939453125,4878.71875,31.34982681274414,8860.6796875,43.099998474121094,6701.5078125,6.800000190734863,3193.39697265625,3321.28369140625,8564.0,26.001686096191406,4759.125,30.581336975097656,42.29999923706055,1359.0,0.09449608623981476,145.0,1.0,0.00031561253126710653,35.06385803222656,2.5,3193.28369140625,0.00048815837362781167,4878.71875
ship_syn_1017_011637,29.592788696289062,29.6477,0.8896,0.1337,0.008616874925792217,0.24060863256454468,2414.0,7.120280742645264,15.0,4666313.0,1.9761022485909052e-05,0.15895378589630127,16.0,0.0,7261.87060546875,7291.16748046875,12516.0,12281.5,59.12853240966797,4847.0546875,31.146358489990234,8584.09765625,44.79999923706055,6978.08984375,6.400000095367432,7261.98388671875,7637.2451171875,12516.0,59.12945556640625,4743.640625,30.481836318969727,44.20000076293945,67631.0,0.24060863256454468,2435.0,21.0,0.0004677317338064313,33.315391540527344,0.0,7261.87060546875,0.0015267669223248959,4847.0546875
